Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person
27,11,4.4,male,1000,4.5,SleepyCat,0.8,1000,Yes,winter,coastal,0.85
6,2,2.5,male,5000,2.7,Moov,-0.3,500,No,summer,mountains,0.1
39,16,4.8,female,2000,4.8,Wildcraft,0.9,800,No,summer,plains,0.95
4,1,1.8,female,900,2.0,Johnson & Johnson,-0.2,400,No,monsoon,coastal,0.05
19,7,4.2,male,700,4.3,PUMA,0.7,200,No,winter,plains,0.8
9,4,3.1,female,6000,3.3,Pepperfry,0.3,900,Yes,winter,coastal,0.4
32,13,4.7,male,100,4.8,Manyavar Mohey,0.9,700,No,summer,plains,0.9
14,6,3.6,female,500,3.8,Max,0.5,300,No,winter,plains,0.6
7,2,2.3,male,2000,2.5,Wakefit,-0.1,700,Yes,summer,mountains,0.05
18,8,4.0,male,300,4.2,Lakme Ayurveda,0.8,100,No,winter,plains,0.9
23,10,4.5,female,4000,4.6,Streax,0.9,100,Yes,summer,coastal,1.0
11,3,2.8,male,600,3.0,Flying Machine,0.2,400,No,monsoon,mountains,0.1
26,11,4.2,female,100,4.4,Lee,0.8,300,No,winter,plains,0.9
17,7,3.9,male,5000,4.0,Head & Shoulders,0.7,900,Yes,winter,plains,0.8
12,5,3.2,female,2000,3.3,Fastrack,0.4,600,Yes,winter,plains,0.5
5,1,1.9,male,900,2.0,Sugar Cosmetics,-0.3,400,No,monsoon,mountains,0.05
31,12,4.3,female,7000,4.5,Manyavar Mohey,0.9,10000,Yes,winter,mountains,1.0
10,4,3.0,male,300,3.2,Kama Ayurveda,0.1,100,No,summer,coastal,0.1
20,9,4.3,female,600,4.5,Johnson & Johnson,0.7,200,No,winter,plains,0.8
16,6,3.7,male,4000,3.8,Pepperfry,0.6,800,Yes,summer,mountains,0.8
29,12,4.6,female,500,4.7,Parachute,0.9,700,No,winter,plains,0.95
24,10,4.4,male,200,4.5,Lee Cooper,0.8,300,No,summer,mountains,0.9
8,3,3.2,female,4000,3.4,Wildcraft,0.4,900,Yes,winter,plains,0.5
21,9,4.1,male,500,4.3,Sugar Cosmetics,0.8,200,No,summer,coastal,0.9
5,2,2.6,male,700,2.8,Lakme Ayurveda,-0.2,500,No,winter,plains,0.05
17,7,3.9,female,3000,4.0,Max,0.7,600,Yes,summer,plains,0.8
11,4,3.1,male,200,3.2,Lijoba,0.1,100,No,monsoon,plains,0.1
28,13,4.5,female,2000,4.6,Godrej Interio,0.85,1000,No,winter,plains,0.9
13,5,3.4,male,8000,3.5,SleepyCat,0.7,900,No,summer,coastal,0.8
9,4,2.9,female,4000,3.0,Dettol,-0.2,500,Yes,winter,plains,0.05
36,15,4.7,male,300,4.8,Moov,0.9,800,No,summer,plains,1.0
7,2,2.5,female,1000,2.7,The Moms Co.,0.0,200,Yes,summer,coastal,0.1
20,8,4.3,male,500,4.5,Max,0.8,300,No,winter,plains,0.9
14,6,3.5,female,6000,3.7,Lakme Ayurveda,0.5,800,Yes,winter,plains,0.6
33,14,4.8,male,200,4.9,Pepe Jeans London,0.9,700,No,summer,mountains,1.0
6,2,2.7,female,100,2.8,Wakefit,-0.1,700,Yes,summer,coastal,0.05
19,8,4.2,male,3000,4.3,Manyavar Mohey,0.8,1000,No,winter,plains,0.9
10,3,2.8,female,900,3.0,Johnson & Johnson,0.1,400,No,summer,plains,0.1
25,11,4.4,male,8000,4.5,Wildcraft,0.85,900,No,summer,mountains,0.9
15,6,3.6,female,200,3.8,Lee,-0.3,500,Yes,monsoon,plains,0.05
29,12,4.6,male,6000,4.7,Pepperfry,0.9,800,No,winter,mountains,1.0
22,9,4.5,female,400,4.6,Head Hunters,0.85,300,No,summer,plains,0.9
12,5,3.0,male,3000,3.1,Urban Ladder,0.2,1000,Yes,winter,plains,0.2
16,7,3.8,female,800,4.0,Lee,0.7,200,No,winter,plains,0.8
31,14,4.9,male,1000,5.0,Manyavar Mohey,0.9,700,No,summer,plains,1.0
4,1,1.7,female,6000,1.8,Dettol,-0.3,500,Yes,summer,plains,0.05
26,11,4.3,male,200,4.4,Libram,0.8,300,No,winter,plains,0.9
16,7,3.9,female,7000,4.0,Flying Machine,0.7,900,No,winter,plains,0.8
8,3,3.3,male,1000,3.4,Max,0.3,200,No,summer,coastal,0.3
27,12,4.7,female,200,4.8,Patanjali Ayurved (Health Care),0.9,700,No,winter,plains,1.0
13,6,3.6,male,900,3.8,Streax,0.5,400,Yes,winter,plains,0.6
7,2,2.4,female,4000,2.6,Wildcraft,-0.1,500,No,summer,mountains,0.05
20,9,4.4,male,100,4.5,Moov,0.85,800,Yes,winter,plains,0.9
32,15,4.8,female,6000,4.9,Forest Essentials,0.9,900,No,winter,mountains,1.0
11,4,3.1,male,300,3.2,PUMA,0.1,400,No,summer,plains,0.1
24,11,4.3,female,500,4.5,Wildcraft,0.8,300,No,summer,plains,0.9
10,3,2.7,male,1000,2.9,Lee,0.1,100,No,monsoon,plains,0.1
35,16,4.9,female,800,5.0,Lee Cooper,0.9,700,No,winter,mountains,1.0
6,2,2.8,female,4000,3.0,Manyavar Mohey,0.0,500,Yes,summer,plains,0.1
19,8,4.3,male,200,4.5,Pepe Jeans London,0.8,900,No,winter,plains,0.9
9,4,3.0,female,6000,3.1,Head Hunters,0.2,1000,Yes,winter,plains,0.2
28,13,4.6,male,500,4.7,SleepyCat,0.9,800,No,summer,coastal,1.0
14,7,3.7,female,2000,3.8,Johnson & Johnson,0.6,200,No,summer,plains,0.7
23,10,4.5,male,900,4.6,Wakefit,0.85,300,No,winter,plains,0.9
12,5,3.2,female,700,3.4,Manyavar Mohey,0.1,400,No,summer,plains,0.1
25,11,4.4,male,3000,4.5,AmazonBasics,0.8,500,Yes,winter,plains,0.9
15,6,3.5,female,400,3.7,Lakme Ayurveda,0.5,600,Yes,winter,plains,0.6
30,14,4.7,male,1000,4.8,Moov,0.9,700,No,summer,plains,1.0
5,2,2.5,female,2000,2.6,Head & Shoulders,-0.1,500,Yes,winter,plains,0.05
21,9,4.2,male,6000,4.4,Flying Machine,0.8,900,No,winter,mountains,0.9
17,7,3.8,female,500,4.0,Kama Ayurveda,0.7,200,No,summer,coastal,0.8
36,16,4.8,male,100,4.9,U.S. Polo Assn. Women,0.9,700,No,winter,plains,1.0
9,4,3.3,female,100,3.4,Dettol,0.3,200,No,summer,plains,0.3
26,12,4.5,male,3000,4.7,Lee,0.85,500,Yes,winter,mountains,0.9
14,7,3.8,female,2000,4.0,SleepyCat,0.6,600,Yes,winter,plains,0.7
7,2,2.7,female,5000,2.9,Flying Machine,-0.1,500,Yes,summer,plains,0.05
31,14,4.7,male,600,4.8,Pepe Jeans London,0.9,700,No,winter,plains,1.0
16,7,3.7,female,300,3.9,Lee Cooper,0.7,200,No,summer,coastal,0.8
8,3,3.1,male,400,3.2,Lakme Ayurveda,0.1,300,No,summer,plains,0.1
23,10,4.3,female,7000,4.4,Wildcraft,0.8,900,Yes,winter,mountains,0.9
11,5,3.2,male,1000,3.4,Manyavar Mohey,0.2,100,No,summer,plains,0.2
28,13,4.8,female,400,4.9,Pepperfry,0.9,700,No,winter,plains,1.0
17,8,3.9,male,500,4.1,Kama Ayurveda,0.8,200,No,summer,coastal,0.9
12,6,3.4,female,2000,3.6,Lee,0.5,400,Yes,summer,plains,0.6
6,2,2.6,male,6000,2.8,Wildcraft,-0.1,500,Yes,summer,plains,0.05
21,10,4.4,female,300,4.5,Manyavar Mohey,0.8,600,No,winter,plains,0.9
10,4,3.0,male,700,3.1,Lee,-0.1,100,No,monsoon,plains,0.05
35,16,4.8,female,5000,4.9,Johnson & Johnson,0.9,800,Yes,winter,plains,1.0
20,9,4.2,male,800,4.3,Streax,0.7,300,No,winter,plains,0.8
13,6,3.5,female,1000,3.7,Pepe Jeans London,0.4,500,Yes,winter,plains,0.5
29,14,4.7,male,2000,4.8,Manyavar Mohey,0.9,900,No,winter,mountains,1.0
15,7,3.8,female,400,4.0,Max,0.6,200,No,summer,plains,0.7
30,15,4.9,male,600,5.0,Wildcraft,0.9,700,No,winter,plains,1.0
24,11,4.6,female,2000,4.7,SleepyCat,0.9,800,No,summer,plains,1.0
18,8,4.0,male,300,4.1,PUMA,0.7,200,No,winter,plains,0.8
32,15,4.8,female,800,4.9,Forest Essentials,0.9,700,No,winter,mountains,1.0
5,2,2.5,male,5000,2.7,Head & Shoulders,-0.1,500,Yes,winter,plains,0.05
18,8,4.1,female,7000,4.2,Flying Machine,0.8,900,No,winter,plains,0.9
14,7,3.8,male,300,4.0,Pepperfry,0.6,200,No,summer,coastal,0.7
7,3,3.0,female,400,3.1,Patanjali Ayurved (Health Care),0.1,300,No,summer,plains,0.1
23,11,4.3,male,800,4.5,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
27,13,4.6,male,1000,4.7,Moov,0.9,800,No,summer,plains,1.0
10,5,3.1,female,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
36,17,4.8,male,200,4.9,Lee Cooper,0.9,700,No,winter,plains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Pepperfry,0.0,600,Yes,summer,mountains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
9,4,2.9,male,3000,3.1,Wildcraft,0.0,600,Yes,winter,plains,0.1
24,12,4.5,female,900,4.6,Flying Machine,0.8,300,No,winter,plains,0.9
13,7,3.7,male,100,3.8,Sugar Cosmetics,0.6,200,No,summer,coastal,0.7
6,3,2.9,female,6000,3.1,Wildcraft,0.0,500,Yes,winter,plains,0.1
21,11,4.4,male,500,4.6,Urban Ladder,0.7,400,No,summer,plains,0.8
32,16,4.8,female,2000,4.9,Lakme Ayurveda,0.9,700,No,winter,plains,1.0
17,9,4.1,male,400,4.2,Head Hunters,0.8,200,No,summer,coastal,0.9
25,13,4.6,female,300,4.7,Manyavar Mohey,0.9,800,No,winter,plains,1.0
19,9,4.2,male,200,4.3,Pepe Jeans London,0.8,300,No,summer,plains,0.9
34,17,4.9,female,7000,5.0,Wakefit,0.9,900,Yes,winter,mountains,1.0
22,11,4.5,male,1000,4.7,Wildcraft,0.8,400,No,winter,plains,0.9
16,8,3.8,female,400,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
10,5,3.1,male,5000,3.2,Lakme Ayurveda,0.0,600,Yes,summer,coastal,0.1
27,13,4.6,male,1000,4.8,Pepperfry,0.9,800,No,summer,plains,1.0
7,3,2.9,female,4000,3.1,Forest Essentials,0.0,500,Yes,winter,plains,0.1
23,11,4.4,male,800,4.6,Manyavar Mohey,0.7,400,No,summer,plains,0.8
12,6,3.3,female,2000,3.5,Wildcraft,0.5,500,Yes,winter,mountains,0.6
28,14,4.7,male,100,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,8,3.8,female,900,4.0,Johnson & Johnson,0.7,200,No,summer,plains,0.8
8,4,3.2,male,3000,3.4,Fastrack,0.2,400,No,winter,plains,0.3
31,15,4.7,female,600,4.8,Wildcraft,0.9,700,No,winter,plains,1.0
20,10,4.3,male,1000,4.4,Lee,0.8,300,No,summer,plains,0.9
11,5,3.2,female,4000,3.4,Patanjali Ayurved (Health Care),0.1,500,Yes,winter,plains,0.2
28,14,4.7,male,200,4.8,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
15,8,3.9,female,500,4.1,Manyavar Mohey,0.7,200,No,summer,plains,0.8
